Projet	Titre du projet	Title Translated	Engagement de GdB (USD)	Descriptif	Agence de financement	Source de Financement	Région	Province	Commune	A l’Echelle National	Secteur	Sous-Secteur
BDI/000431	Projet pour l'instauration et la promotion d'un dialogue social entre le gouvernement, employeurs	Project for the establishment and promotion of a social dialogue between government, employers			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000432	Campagne radiophonique pour la promotion des droits des groupes marginalisés ou vulnérables	Radio campaign to promote the rights of marginalized and vulnerable groups			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	COMMUNICATIONS	Radio, télévision, presse écrite
BDI/000433	Programme de relance activités productives du monde rural et de soutien aux communautés vulnérables	Recovery Program productive rural activities and support to vulnerable communities			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Aide plurisectorielle
BDI/000434	Emergence du droit à un procès équitable pour les victimes de torture au Burundi	Emergence of the right to a fair trial for the victims of torture in Burundi			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000435	Réduction de la pauvreté de la population déplcée par la guerre à Buterere et à Kiyange -Bujumbura	Poverty reduction of the population déplcée war Buterere and Kiyange-Bujumbura			Commission de l'Union Européenne	Commission de l'Union Européenne	Ouest	Mairie de Bujumbura	Non spécifié	Non	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000436	Action sociale et d'assistance aux vulnérables et orphelins"ASAVO3"	Advocacy and assistance to orphans and vulnerable "ASAVO3"			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000437	Projet GLIA	Projet glía			GLIA	États Unis d'Amérique	Nord	Muyinga	Non spécifié	Non	SANTE	Éducation et formation médicales
BDI/000438	Appui au programme de la décentralisation et d'intensification de la lutte contre le SIDA (APRODIS)	Program support decentralization and strengthening the fight against AIDS (APRODIS)			Global Fund	Global found	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Politique de la santé et gestion administrative
BDI/000439	Amélioration de la situation socio-économique des populations vulnérables dans la commune Cankuzo.	Improving the socio-economic situation of vulnerable populations in the common Cankuzo.			Commission de l'Union Européenne	Commission de l'Union Européenne	Centre-Est	Cankuzo	Cankuzo	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000440	Accès à l'eau potable dans les milieuxruraux-1er préfinancement	Access to drinking water in milieuxruraux-1st pre-financing			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau potable de base et assainissement de base
BDI/000441	Renforcement des capacités des coopératives agro zootechniques-1er préfinancement	Capacity of agro-livestock cooperatives 1st pre-financing			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Bétail
BDI/000442	Accompagnement et prise en charge médicale, psychologique et juridique des victimes de torture	Support and medical care, psychological and legal support for victims of torture			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE; SANTE	Droits de la personne; Santé, général
BDI/000443	Programme de sécurité alimentaire dans la province de Cankuzo au Nord-Est	Food security program in the province of Cankuzo North East			Commission de l'Union Européenne	Commission de l'Union Européenne	Centre-Est	Cankuzo	Non spécifié	Non	AIDE-PROGRAMME ET AIDE SOUS FORME DE PRODUITS	Aide alimentaire à des fins de développement/aide à la sécurité alimentaire
BDI/000444	Renforcement des services en faveur des enfants de la rue et des jeunes désavantagés de Bujumbura	Strengthening services for street children and disadvantaged youth Bujumbura			Commission de l'Union Européenne	Commission de l'Union Européenne	Ouest	Mairie de Bujumbura	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000445	Appui aux programmes de santé de base dans la Province Sanitaire de bubanza	Program support basic health in the Sanitary Bubanza			Commission de l'Union Européenne	Commission de l'Union Européenne	Ouest	Bubanza	Non spécifié	Non	SANTE	Santé de base
BDI/000446	La famille pour vaincre le Sida/Association Burundaise des Amis de l'enfance (FVS/AMADE)	Family Fights AIDS / Burundian Association of Friends of Children (FVS / AMADE)			Belgique; Commission de l'Union Européenne	Belgique; Commission de l'Union Européenne	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Lutte contre les maladies infectieuses
BDI/000447	Appui aux Associations paysannes dans la province de Bujumbura Rural	Supporting farmers' associations in the province of Bujumbura Rural			Commission de l'Union Européenne	Commission de l'Union Européenne	Ouest	Bujumbura Rural	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000448	Sécurité alimentaire et appui aux organisations paysannes dans les provinces Muramvya, Mwaro et Cankuzo.	Food security and support to farmer organizations in the provinces Muramvya Mwaro and Cankuzo.			Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Ouest; Centre-Est	Cankuzo; Mwaro; Muramvya	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000449	Opérations conjointes BMZ/UNHCR/GTZ	Joint operations BMZ / UNHCR / GTZ			Allemagne; Haut Commissariat des Nations Unies pour les Réfugiés	Allemagne; Nations Unies	Sud; Centre-Est; Nord	Muyinga; Rutana; Ruyigi; Makamba	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000450	Renforcement de la capacité de fonctionnement de la police au Burundi	Strengthening the operational capacity of the police in Burundi			Allemagne	Allemagne	Sud	Rutana; Makamba	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gestion et réforme des systèmes de sécurité
BDI/000451	Reconstruction et prévention des crises dans la province de Bujumbura rural (PPCR)	Reconstruction and crisis prevention in the province of Bujumbura Rural (PPCR)			Allemagne	Allemagne	Ouest	Bujumbura Rural	Non spécifié	Non	AIDE HUMANITAIRE	Aide à la reconstruction et réhabilitation
BDI/000452	Fonds d'études et d'experts	Education fund and experts			Allemagne	Allemagne	Non spécifié	Non spécifié	Non spécifié	Non	NON AFFECTE/ NON SPECIFIE	Secteur non spécifié
BDI/000453	Agrandissement et equipement de l'école technique secondaire de Kiryama(BURURI-BURUNDI)	Expansion and equipment technical secondary school Kiryama (BURURI-BURUNDI)			Commission de l'Union Européenne	Commission de l'Union Européenne	Sud	Bururi	Non spécifié	Non	EDUCATION	Éducation post-secondaire
BDI/000454	Renforcement des capacités des institutions locales et de la société  civile en province KARUSI	Capacity building of local institutions and civil society in the province KARUSI			Commission de l'Union Européenne	Commission de l'Union Européenne	Centre-Est	Karuzi	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000455	Projet d'appui à la sécurité alimentaire dans la commune de Bugabira (province Kirundo au Burundi)	Support food security in the town of Bugabira project (Kirundo province in Burundi)			Commission de l'Union Européenne	Commission de l'Union Européenne	Nord	Kirundo	Bugabira	Non	AGRICULTURE	Développement agricole
BDI/000456	Programme pilote d'appui aux initiatives locales de rapprochement des communautés divisées au Burundi	Driver support for local initiatives reconciliation of divided communities in Burundi program			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000457	Projet de multiplication et de diffusion de matériel de plantation de colocase en province Rutana	Project multiplication and distribution of planting material of taro in Rutana province			Commission de l'Union Européenne	Commission de l'Union Européenne	Sud	Rutana	Non spécifié	Non	AGRICULTURE	Produits à usage agricole
BDI/000458	Promotion des droits de l'homme et des aspects de la démocratie aux quartiers nord	Promotion of human rights and democracy issues in northern districts			Commission de l'Union Européenne	Commission de l'Union Européenne	Ouest	Mairie de Bujumbura	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000459	Programme Post-Conflit de Développement rural (enveloppe B)	Post-Conflict Rural Development Programme (envelope B)			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE; INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS	Développement agricole; Services sociaux
BDI/000460	STABEX/Programme de Réhabilitation des Pistes prioritaires	STABEX / Rehabilitation Programme priority Tracks			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS	Services sociaux
BDI/000461	STABEX/Réinsertion des sinistrés de guerre	STABEX / reintegration of war victims			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000462	STABEX/Assistance technique et audit	STABEX / Technical Assistance and Audit			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000463	Dons aux Micro-projets Locaux aux ONGs (Grassroots Grant Aid to NGOs)	Donations to Local Micro-projects to NGOs (Grassroots Grant Aid to NGOs)			Japan International Cooperation Agency (JICA)	Japon	Non spécifié	Non spécifié	Non spécifié	Non	BANQUES ET SERVICES FINANCIERS	Intermédiaires financiers du secteur informel et semi formel
BDI/000464	Crédit de la réforme économique	Credit economic reform			Japan International Cooperation Agency (JICA)	Japon	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000465	Réhabilitation  du Transport Public	Rehabilitation of Public Transport			Japan International Cooperation Agency (JICA)	Japon	Ouest	Mairie de Bujumbura	Non spécifié	Non	TRANSPORTS ET ENTREPOSAGE	Politique des transports et gestion administrative
BDI/000466	Aide alimentaire pour le développement	Food aid for development			Central Emergency Response	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000467	Environnement	Environment			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Protection de l’environnement, généralupdate amp_sector set name=
BDI/000468	Opportunité Économique	Economic Opportunity			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Aide plurisectorielle
BDI/000469	Secteur Financier	Financial Sector			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	BANQUES ET SERVICES FINANCIERS	Éducation/formation dans la banque et les services financiers
BDI/000470	Echanges commerciaux et investissement	Trade and investment exchanges			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000471	Prévention des conflit et Réconciliation	Conflict prevention and reconciliation			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits
BDI/000472	Société civile	Civil society			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000473	Assistance sociale pour les population vulnérables	Social assistance for vulnerable population			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Assistance matérielle et services d’urgence
BDI/000474	Appui à la réduction de la pauvreté 2004-2006 (PPARP)+Allègement de la dette	Support for Poverty Reduction 2004-2006 (PPARP) + Debt Relief			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Politique / planification économique et du développement
BDI/000475	Aménagement de la RN 12 et  voirie urbaine (2ème ligne budgétaire)	Development of the RN 12 and urban roads (second budget line)			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	TRANSPORTS ET ENTREPOSAGE	Transport routier
BDI/000476	FACILITE DE COOPÉRATION TECHNIQUE I	TECHNICAL COOPERATION FACILITY I			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000477	Programme de Réhabilitation du Burundi (PREBU)	The Burundi Rehabilitation Programme (PREBU)			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Aide plurisectorielle
BDI/000478	STABEX/Réhabilitation des stations de lavage café	STABEX / Rehabilitation of coffee washing stations			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Services agricoles
BDI/000479	STABEX/PROTHEM	STABEX/PROTHEM			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Récoltes destinées à l’exportation
BDI/000480	STABEX/Réhabilitation et Relance du secteur Horticole	STABEX / Rehabilitation and Renewal of the Horticultural Sector			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Récoltes destinées à l’exportation
BDI/000481	STABEX/Appui à la production vivrière II	STABEX / Support food production II			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000482	Appui à la Banque Nationale de Développement (BNDE IV)	Support to National Development Bank (BNDE IV)			Allemagne; Belgique	Allemagne; Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	BANQUES ET SERVICES FINANCIERS	Éducation/formation dans la banque et les services financiers
BDI/000483	Rapatriement des réfugiés burundais de 1972	Repatriation of 1972 Burundian refugees			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Sud	Rutana; Bururi; Makamba	Non spécifié	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000484	Assistance aux rapatriés et expulsés dans les provinces du Moso et à  Muyinga	Assistance to returnees and deportees in the provinces of Moso and Muyinga			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Nord	Muyinga	Non spécifié	Non	AIDE HUMANITAIRE	Aide à la reconstruction et réhabilitation
BDI/000485	Projet achat des moustiquaires pour les réfugiés	Project nets purchased for Refugees			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000486	Renforcement des capacités des autorités pour la protection des réfugiés et apatrides	Capacity building of authorities for the protection of refugees and stateless			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000487	Assistance au rapatriement et à la réintégration des réfugiés burundais	Assistance repatriation and reintegration of Burundian refugees			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Assistance matérielle et services d’urgence
BDI/000488	Appui au règlement pacifique des conflits	Support the peaceful settlement of conflicts			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000489	Assistance des réfugiés au Burundi	Assistance to refugees in Burundi			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Assistance matérielle et services d’urgence
BDI/000490	Lutte contre le VIH/SIDA dans le camp de réfugiés de Gasorwe	Fight against HIV / AIDS in the refugee camp Gasorwe			Haut Commissariat des Nations Unies pour les Réfugiés	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Éducation sanitaire
BDI/000491	Projet pour l'Amélioration des Soins de  Santé Maternelle et des Soins Obstétricales d'Urgence à travers un Système Opérationnel de Référence (UNFPA)	Project for Improvement of Maternal Health Care and Emergency Obstetric Care through an Operational Reference System (UNFPA)			Japan International Cooperation Agency (JICA)	Japon	Centre-Est; Nord	Muyinga; Ngozi; Cankuzo	Non spécifié	Non	SANTE	Services médicaux
BDI/000492	Global rigths (GR)	Global rigths (GR)			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000493	Burundi Agribusiness program	Burundi Agribusiness program			United States Agency for International Development	États Unis d'Amérique	Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Bubanza; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Gitega; Cibitoke	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000494	President's Emergency Programm for AIDS Relief (Appui au SP/CNLS)	President's Emergency Programm for AIDS Relief (Appui au SP/CNLS)			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Éducation et formation médicales
BDI/000495	Santé maternelle et Infantile	Maternal and Child Health			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Soins et services de santé de base
BDI/000496	Compétition politique et recherche de consensus	Political competition and consensus			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Élections
BDI/000497	Burundi land technical assistance	Burundi land technical assistance			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits
BDI/000498	Construction d'un Centre Nutrutionnel auprès de l'Hôpital de Cibitoke	Construction of a Nutrutionnel Centre at the Hospital Cibitoke			Comitato Collaborazione Medica	ONG	Ouest	Cibitoke	Non spécifié	Non	SANTE	Santé de base
BDI/000499	Amélioration des conditions sanitaires dans la Province de Cibitoke	Improvement of sanitary conditions in the province of Cibitoke			Ministère des affaires Etrangères Italiennes	Italie	Ouest	Cibitoke	Non spécifié	Non	SANTE	Santé de base
BDI/000500	Projet Emergence: Renforcement des services de Chirurgie, Emergence et Maternit de l'Hôpital de Mabayi	Emergence Project: Strengthening services Surgery, Emergence and Maternity Hospital Mabayi			Ministère des affaires Etrangères Italiennes	Italie	Ouest	Cibitoke	Mabayi	Non	SANTE	Soins et services de santé de base
BDI/000501	Lutte contre le VIH/SIDA, centre pilote et sensibilisation	Fight against HIV / AIDS awareness and pilot center			Christian Aid	ONG	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Santé de base
BDI/000502	Camps de travail pour jeunes	Labor camps for youth			Christian Aid	ONG	Ouest	Mairie de Bujumbura	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits
BDI/000503	Scolarisation des enfants Batwa	Education of Batwa children			Christian Aid	ONG	Centre-Est	Gitega	Non spécifié	Non	EDUCATION	Éducation de base
BDI/000504	Projet KIRUMARA: "Créons un environnementfavorable pour les femmes au Burundi"	KIRUMARA project: "Let's create a environnementfavorable for women in Burundi"			Austrian Development Agency (ADA); CARE International; PRIVE	Australie; ONG; Privé	Ouest; Centre-Est	Bubanza; Bujumbura Rural; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000505	Enquête sociale dans la communauté Batwa	Social Survey in the Batwa community			Christian Aid	ONG	Non spécifié	Non spécifié	Non spécifié	Non	POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE	Politique/programmes en matière de population et gestion administrative
BDI/000506	Projet de reconstruction des maisons pour les rapatriés et déplacés à Ruyigi	Project of reconstruction of houses for returnees and displaced Ruyigi			Christian Aid	ONG	Centre-Est	Ruyigi	Butezi; Bweru	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000507	Projet d'appui au réseau sanitaire, et mise en place des Districts d'Isale, Rwibaga et Rushubi, et du système de prise en Charge de la malnutrition au niveau communautaire, dans la province de Bujumbura Rural, Burundi	Project to support the health network, and implementation of the Districts of Isaiah, and Rwibaga Rushubi and System Supported malnutrition at the community level, in the province of Bujumbura Rural, Burundi			ECHO	Commission de l'Union Européenne	Ouest	Bujumbura Rural	Non spécifié	Non	SANTE	Infrastructure pour la santé de base; Nutrition de base
BDI/000508	Projet Protection et Resauration de l'Environnement	Protection Project and Resauration Environment			Christian Aid	ONG	Non spécifié	Non spécifié	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Protection de l’environnement, généralupdate amp_sector set name=
BDI/000509	Réhabilitation Agriocle	Réhabilitation Agriocle			Christian Aid	ONG	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000510	Programme Cantines Scolaires 2007 - 2008	School Feeding Programme 2007 - 2008			Caritas International	ONG	Sud; Centre-Est	Ruyigi; Makamba	Non spécifié	Non	EDUCATION	Éducation, niveau non spécifié
BDI/000511	Cash for Work II: clôture du parc de la Ruvubu et désenclavement en milieu rural	Cash for Work II: Closing the park opening Ruvubu and rural			Caritas International	ONG	Non spécifié	Non spécifié	Non spécifié	Non	INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS	Aide plurisectorielle pour les services sociaux de base
BDI/000512	Projet Diversification des Revenus Agricoles au Burundi	Agricultural Income Diversification Project in Burundi			Caritas International	ONG	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000513	Projet Intégré d'Amélioration Durable de la Sécurité Alimentaire Mwakiro et Buhinyuza	Integrated Project for Sustainable Improvement of Food Security and Mwakiro Buhinyuza			Belgique	Belgique	Nord	Muyinga	Buhinyuza; Mwakiro	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000514	Programme de réinsertion et réintégration Kayogoro et Nyanza Lac	Program of rehabilitation and reintegration Kayogoro and Nyanza Lac			Intermon Oxfam	ONG	Sud	Makamba	Kayogora; Nyanza-Lac	Non	AGRICULTURE	Réforme agraire
BDI/000515	Appui au Secrétariat Permanent du Conseil National du Travail	Support to the Permanent Secretariat of the National Council of Labour			ISCOS; Région Abruzo	Italie; ONG	Non spécifié	Non spécifié	Non spécifié	Non	ENTREPRISES ET AUTRES SERVICES	Services et institutions de soutien commerciaux
BDI/000516	Food Rutana	Food Rutana			ISCOS	ONG	Sud	Rutana	Non spécifié	Non	AIDE HUMANITAIRE	Aide à la reconstruction et réhabilitation
BDI/000517	Soutien aux sujets vulnérables (femmes et Batwa)	Support to vulnerable subjects (women and Batwa)			Ministère des affaires Etrangères Italiennes	Italie	Ouest	Bubanza	Mpanda	Non	AIDE HUMANITAIRE	Aide à la reconstruction et réhabilitation
BDI/000518	Ateliers de l'Institut Panos Paris à l'intention des journalistes	Workshops Panos Paris Institute for journalists			PANOS	ONG	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000519	Appui à la Radio Bonesha FM	Appui à la Radio Bonesha FM			Sida	Suède	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000520	Appui à la Radio Télévision Renaissance	Support for the Radio Television Renaissance			Sida	Suède	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000521	Appui à l'association des Femmes Journalistes	Support the association of Women Journalists			Sida	Suède	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000522	Projet de lutte contre le SIDA	Project against AIDS			Geneva Global; Solidarités	ONG	Sud; Ouest; Nord	Kayanza; Muyinga; Rutana; Kirundo; Bujumbura Rural; Bururi; Makamba; Cibitoke	Non spécifié	Non	SANTE	Éducation et formation médicales
BDI/000523	Appui au Conseil National de la Communication	Support to National Communication Council			PANOS	ONG	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000524	Appui à la maison de la Presse	Support at home Press			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	COMMUNICATIONS	Radio, télévision, presse écrite
BDI/000525	Droits des Femmes, Sécurité alimentaire, VIH/SIDA, Gouvernance	Women's Rights, Food Security, HIV / AIDS, Governance			Action Aid	ONG	Sud; Centre-Est; Nord	Rutana; Kirundo; Ruyigi; Karuzi	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000526	Réhabilitation Post-conflits à Ruyigi	Post-conflict rehabilitation in Ruyigi			CEPBU; Solidarités	ONG	Centre-Est	Ruyigi	Non spécifié	Non	AIDE HUMANITAIRE	Aide à la reconstruction et réhabilitation
BDI/000527	Lutte contre les violences faites aux femmes	Fight against violence against women			Agence danoise pour le développement international; Ministère des Affaires Etragères Luxembourgeoises	Danemark; Luxembourg	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000528	Projet agropastoral et protection de l'Environnement	Agropastoral project and Environmental Protection			CEPBU; PMU Inter Life	ONG	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AGRICULTURE	Services vétérinaires (bétail)
BDI/000529	Construction d'un centre de commercialisation et transformation de produits à Kigobe	Construction of a center for marketing and processing products Kigobe			Fondation Cariplo de Milan; VISPE	ONG	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE; POLITIQUE COMMERCIALE ET REGLEMENTATIONS	Politique commerciale et gestion administrative; Reconstruction et réhabilitation
BDI/000530	Construction nouvelle pédiatrie à l'hôpital de Mutoyi	Newbuilding pediatrics at the hospital Mutoyi			VISPE; Banque de Crédit de Busto Garolfo et Buguggiate	ONG; Privé	Centre-Est	Gitega	Non spécifié	Non	SANTE	Santé de base
BDI/000531	Activités dans les Centres de Développements de Mutoyi et Bugenyuzi	Activities Centres Developments Mutoyi and Bugenyuzi			Ministère des affaires Etrangères Italiennes; VISPE	Italie; ONG	Centre-Est	Gitega; Karuzi	Non spécifié	Non	EDUCATION	Éducation post-secondaire
